treeID,Z,TreeSpecies,coords.x1,coords.x2,DBH,Biomass
90,16.66,2,294710.875,6808798.125,32.41011967,401.1268644
91,16.87,1,295036.125,6808798.125,23.08427971,231.006069
92,18.73,2,295106.875,6808798.125,42.39482595,702.0871773
93,15.3,2,294749.875,6808797.875,27.48658657,275.7064586
94,7.04,2,294853.625,6808797.875,10.07684059,20.81955523
95,10.42,2,294937.125,6808797.875,15.5585988,65.88432618
96,18.7,2,295103.625,6808797.875,42.2212505,696.4644176
97,3.9,2,293783.125,6808797.625,5.777163046,5.180702561
98,9.29,2,294688.375,6808797.625,13.56522921,45.81394126
99,20.85,2,294737.125,6808797.625,57.96993622,1234.710063
100,7.34,2,294856.625,6808797.625,10.5129375,23.27937388
101,20.75,2,295025.125,6808797.625,57.0505342,1202.423499
102,16.03,2,295160.125,6808797.625,30.00290638,337.4589905
103,2.1,2,293745.875,6808797.375,3.06472611,1.466966929
104,19.32,2,294998.625,6808797.375,46.03044482,822.0936089
105,5.17,2,293647.875,6808797.125,7.486805797,9.688099453
106,2.04,2,294215.375,6808797.125,2.952396823,1.381846781
107,19.19,2,294784.125,6808797.125,45.1912056,794.0438775
108,16.55,2,294805.125,6808797.125,31.9724346,389.2404499
109,10.83,2,294829.625,6808797.125,16.3333475,74.87196115
110,9.38,2,294922.375,6808797.125,13.71706624,47.18977951
111,2.86,2,293679.375,6808796.875,4.306850782,2.733477605
112,5.03,3,293789.375,6808796.875,6.06678335,5.838312575
113,6.02,2,293882.875,6808796.875,8.642081251,13.95218887
114,18.35,2,294615.625,6808796.875,40.26928741,634.0143226
115,20.97,2,294725.875,6808796.875,59.10439861,1274.583727
116,19.31,3,294770.375,6808796.875,193.9822228,2918.975034
117,9.89,2,294834.375,6808796.875,14.59930882,55.68035229
118,6.75,2,294869.875,6808796.875,9.661926482,18.64411811
119,4.74,2,294878.875,6808796.875,6.909307051,7.940493869
120,13.82,2,295082.125,6808796.875,23.10904944,181.6688859
121,7.85,3,293770.125,6808796.625,10.21271653,22.85856627
122,18.57,2,294761.625,6808796.625,41.48077014,672.6009482
123,9.77,2,294926.875,6808796.625,14.3882733,53.57190946
124,10.54,3,294969.125,6808796.625,15.92452742,73.66996754
125,17.23,2,295125.375,6808796.625,34.80840695,468.5055376
126,2.15,2,293698.125,6808796.375,3.15596566,1.539359854
127,5.6,2,293778.875,6808796.375,8.067998659,11.70019385
128,21.02,2,294632.375,6808796.375,59.58748503,1291.570221
129,6.89,2,294874.375,6808796.375,9.861454756,19.67046951
130,20.3,2,295031.125,6808796.375,53.18210723,1067.125815
131,20.02,1,295042.625,6808796.375,30.7309354,456.5263084
132,5.22,1,293649.875,6808796.125,6.714153191,11.49560256
133,5.57,3,293886.125,6808796.125,6.775063813,7.730128374
134,18.27,2,294605.125,6808796.125,39.8411867,620.522616
135,18.59,2,294787.875,6808796.125,41.59347206,676.2198154
136,12.4,2,294960.625,6808796.125,19.61113308,120.3008051
137,19.56,2,295008.375,6808796.125,47.64167593,876.4428471
138,17.17,2,295118.625,6808796.125,34.54510898,460.9313089
139,18.92,2,294639.625,6808795.875,43.51845624,738.7376134
140,15.75,2,295140.875,6808795.875,29.00557955,312.3648878
141,2.54,2,293793.375,6808795.625,3.813814621,2.154346707
142,3.34,2,294062.625,6808795.625,5.002423358,3.746771883
143,19.95,2,294611.125,6808795.625,50.44607407,972.3464038
144,13.7,2,294675.375,6808795.625,22.78981756,175.5378345
145,18.3,2,294716.875,6808795.625,40.00096742,625.5490535
146,24.86,1,294977.125,6808795.625,50.04125438,1279.219884
147,17.58,1,295039.125,6808795.625,24.60040087,269.7435946
148,7.2,1,293656.875,6808795.375,8.894632955,21.71991951
149,2.19,1,293763.375,6808795.375,3.010983861,2.729410636
150,4.66,1,294230.375,6808795.375,6.095732709,9.362274464
151,9.79,3,294579.375,6808795.375,14.07121311,53.52085134
152,17.65,2,294591.625,6808795.375,36.72944269,524.9815408
153,9.7,2,294913.125,6808795.375,14.26617054,52.37430718
154,15.3,2,295018.625,6808795.375,27.48658657,275.7064586
155,6.84,2,294755.625,6808795.125,9.790032479,19.29889308
156,19.61,2,294795.625,6808795.125,47.98792107,888.2000328
157,2.56,2,294955.125,6808795.125,3.845601102,2.188469942
158,19.35,2,295092.375,6808795.125,46.22738393,828.7027455
159,19.05,2,295097.875,6808795.125,44.31234336,764.8808825
160,11.31,3,293665.375,6808794.875,18.12002951,101.9254513
161,5.14,3,293824.875,6808794.875,6.208790198,6.188390353
162,9.13,2,294862.875,6808794.875,13.29800513,43.45290404
163,19.45,2,295003.375,6808794.875,46.89295036,851.1102963
164,4.12,2,293781.375,6808794.625,6.075629181,5.827690318
165,5.24,2,293869.375,6808794.625,7.581082295,9.99680416
166,7.73,1,293875.125,6808794.625,9.491369763,25.33344677
167,19.39,2,294599.625,6808794.625,46.49191727,837.5957235
168,7.96,2,294839.125,6808794.625,11.43928644,29.11444612
169,11.1,2,294903.875,6808794.625,16.86037746,81.36891331
170,2.14,2,294087.125,6808794.375,3.13787776,1.524772545
171,15.96,3,294584.375,6808794.375,46.33208441,706.5699408
172,13.17,2,294707.375,6808794.375,21.43480043,150.6825447
173,19.45,2,294732.625,6808794.375,46.89295036,851.1102963
174,15.18,2,294822.375,6808794.375,27.09785922,266.6412706
175,6.48,2,294872.375,6808794.375,9.280935697,16.78441224
176,11.19,2,294896.625,6808794.375,17.03917562,83.64357228
177,12.18,2,294922.375,6808794.375,19.11853447,112.7132776
178,19.8,1,295044.875,6808794.375,30.10922456,435.5129436
179,2.42,1,293685.125,6808794.125,3.361696114,3.198627852
180,2.6,1,293821.625,6808794.125,3.618184639,3.581863781
181,21.91,2,294738.375,6808794.125,69.36997922,1634.23284
182,19.57,3,294767.375,6808794.125,246.7670432,3265.405841
183,9.54,2,294856.375,6808794.125,13.98978474,49.72369252
184,19.35,2,294942.125,6808794.125,46.22738393,828.7027455
